vid,video_path,audio_path,bbox,asr,caption
28W2fKUS9ZY_1920x1080_full_video_008_B,videos/28W2fKUS9ZY_1920x1080_full_video_008.mp4,audios/28W2fKUS9ZY_1920x1080_full_video_008.wav,"0,0,1,1", You sleep on the floor. You don't have a place that's yours. You just sleep in any space that you can find.,"The person in the video is sitting on a sofa, slightly leaning to the right. His right hand moves slightly while speaking, with fingers spread out, seemingly emphasizing a point. His left hand rests in front of him, with his arm relaxed resting on the backrest of the sofa. Throughout the process, his hand movements are natural and not overly exaggerated or rapid. The person says, <S> You sleep on the floor. You don't have a place that's yours. You just sleep in any space that you can find.<E> <AUDCAP>A male speaker with a medium pitch and a neutral North American accent delivers a descriptive passage. His prosody is relatively flat with consistent rhythm and minimal intonation variation. His emotional state appears neutral and objective. The speech rate is moderate and clear.<ENDAUDCAP>
"
2FOaaesEWi0_1920x1080_full_video_007_A,videos/2FOaaesEWi0_1920x1080_full_video_007.mp4,audios/2FOaaesEWi0_1920x1080_full_video_007.wav,"0,0,1,1",应该发出那个声音的可是他那个声音真的是做的非常的高级所以很多音乐学院的人你训练很长时间你微妙也不是他的本分他其实没有什么特别做特别高级不对他没上我的屯你觉得從我来看,"The person in the video raises their left hand slightly first, with fingers naturally spread out, then gradually moves to the right, palm facing up, as if emphasizing a point. Next, the left hand is raised again, with fingers gently curved, seemingly making gestures to complement the spoken words. Then, the left hand is lowered, and the right hand begins to make similar movements, starting with the palm facing up and fingers slightly curved, before gradually moving to the left, as if further explaining or emphasizing a concept. Throughout the process, the movements of both hands are coordinated and rhythmic, indicating that they are giving a detailed explanation or discussion. The person says, <S>应该发出那个声音的可是他那个声音真的是做的非常的高级所以很多音乐学院的人你训练很长时间你微妙也不是他的本分他其实没有什么特别做特别高级不对他没上我的屯你觉得從我来看<E> <AUDCAP>A middle-aged to older male speaker, identified by a standard Mandarin accent, delivers his lines in a clear, calm, and confident manner. His pitch falls within the low to medium range, and his prosody features a steady, even rhythm with subtle stress on key words. He maintains a moderate, consistent speech rate. The emotional tone is informative and objective, with no notable excitement or other strong feelings.<ENDAUDCAP>
"
2Ait0WaCNCw_1920x1080_full_video_106_B,videos/2Ait0WaCNCw_1920x1080_full_video_106.mp4,audios/2Ait0WaCNCw_1920x1080_full_video_106.wav,"0,0,1,1"," This is my idea of the perfect sex session. Can you just like, let's just take turns. You know, we each design our own perfect sex session. You know, could you start with Kim?","The person in the video is seated behind a table with their hands naturally hanging by their sides. As the conversation progresses, her left hand begins to lift slightly, fingers spreading out, and then it goes back down. Subsequently, her right hand also gradually lifts, palm facing up, fingers slightly spread, as if emphasizing a point or explaining something. Her right hand then goes back down while her left hand continues to lift and moves slightly to the right, palm still facing up. Finally, her right hand lifts again, palm facing up, fingers slightly spread, contrasting with her left hand. Throughout the process, her movements are smooth and rhythmic, indicating that she is actively participating in the conversation. The person says, <S> This is my idea of the perfect sex session. Can you just like, let's just take turns. You know, we each design our own perfect sex session. You know, could you start with Kim?<E> <AUDCAP>A female speaker with a high-pitched, clear voice and a neutral accent speaks at a normal, even pace. Her prosody is conversational with consistent intonation and moderate stress. She sounds calm and inquisitive, delivering a straightforward request. The audio quality is good, with minimal background noise.<ENDAUDCAP>
"
26bqQttDRaU_1920x1080_full_video_039_A,videos/26bqQttDRaU_1920x1080_full_video_039.mp4,audios/26bqQttDRaU_1920x1080_full_video_039.wav,"0,0,1,1", $6 in their birthday cards.,"The person in the video has their hands crossed on the table, with the left hand above and the right hand below. His fingers are slightly spread apart, and his thumb naturally aligns with the other fingers. As the video progresses, his head subtly turns to the left, looking towards the left side, then returning to directly ahead. His mouth is slightly open, as if he is speaking or expressing some emotion. Throughout the process, his arms remain relatively still, with only minor movements in his head. The person says, <S> $6 in their birthday cards.<E> <AUDCAP>A male mid-to-late adult speaker with a standard American accent delivers the lines at a fast, energetic pace. His voice has a medium-to-low pitch and a sharp, projected quality, delivering the lines with a comedic and sarcastic prosody and clear, abrupt intonation. There is a theatrical emphasis and rhythm, suggesting a scripted performance. The clip ends with a theatrical sigh and a comedic cadence.<ENDAUDCAP>
"
2AdtC-hnq7k_1920x1080_full_video_027_A,videos/2AdtC-hnq7k_1920x1080_full_video_027.mp4,audios/2AdtC-hnq7k_1920x1080_full_video_027.wav,"0,0,1,1"," They were so enthralled by it. They loved that the bunny duck was different. Like, all kids see is that that makes them special.","The person in the video has their left hand fingers naturally spread out with the palm facing upwards, seemingly emphasizing a point or explaining something. Then, her fingers begin to slightly curve, forming a ""V"" shape gesture, which might indicate affirmation or emphasis. Following that, her fingers return to an open position with the palm still facing upwards. Finally, her fingers again slightly curve into a ""V"" shape and then revert back to an open position. Throughout the process, her hand movements are smooth and rhythmic, showing that she is actively engaging with the audience. The person says, <S> They were so enthralled by it. They loved that the bunny duck was different. Like, all kids see is that that makes them special.<E> <AUDCAP>A female speaker with a clear American accent discusses children's reactions. Her voice has a medium pitch and a moderate, steady pace. The prosody is somewhat flat with consistent intonation, though the word ""special"" receives slight emphasis. The emotion conveyed is calm and matter-of-fact. Her voice sounds like that of a young adult or middle-aged woman, captured with good audio clarity.<ENDAUDCAP>
"
29n0WG317tM_1920x1080_full_video_033_A,videos/29n0WG317tM_1920x1080_full_video_033.mp4,audios/29n0WG317tM_1920x1080_full_video_033.wav,"0,0,1,1", and sunglasses were designed with performance in mind. I've spent a lifetime working on the biology of the visual system.,"The person in the video has their hands crossed in front of them, with a watch on their left wrist and a pen between their right ring finger. Their fingers gently touch each other, occasionally showing slight changes in movement, but overall remaining relatively stable. The person says, <S> and sunglasses were designed with performance in mind. I've spent a lifetime working on the biology of the visual system.<E> <AUDCAP>A male speaker with a medium-low pitch and a standard North American accent speaks at a normal, measured pace. His prosody is even and rhythmically consistent, conveying an informative, thoughtful tone. The delivery is clear, articulate, and calm, lacking strong emotional inflection. His voice sounds mature, suggesting a middle-aged adult.<ENDAUDCAP>
"
2Ait0WaCNCw_1920x1080_full_video_111_A,videos/2Ait0WaCNCw_1920x1080_full_video_111.mp4,audios/2Ait0WaCNCw_1920x1080_full_video_111.wav,"0,0,1,1"," So a couple of counterpoints here just from personal experience. One of the things I've always been a bit conscious of or one of the things that I think has irked me a little bit is. Yeah, and this caught me off guard.","The person in the video raises their left hand first, making a ""V"" sign with their fingers, then lowers it with the palm facing up, as if emphasizing a point or explaining something. He then raises his left hand again, with his fingers spread out, seemingly listing several points or providing further explanation. Throughout the process, his hand movements are smooth and rhythmic, indicating confidence and focus in his expression. The person says, <S> So a couple of counterpoints here just from personal experience. One of the things I've always been a bit conscious of or one of the things that I think has irked me a little bit is. Yeah, and this caught me off guard.<E> <AUDCAP>A male speaker, likely middle-aged, with a standard British accent, speaks at a normal pace. His tone is conversational and thoughtful, and his prosody is natural and steady with moderate intonation and stress. He sounds calm and reflective, expressing mild anterior annoyance rather than strong emotion. His voice is in the medium pitch range and has a clear, resonant quality.<ENDAUDCAP>
"
2BlwAmSpVnY_1920x1080_full_video_227_A,videos/2BlwAmSpVnY_1920x1080_full_video_227.mp4,audios/2BlwAmSpVnY_1920x1080_full_video_227.wav,"0,0,1,1"," Green Day starts to finish up and they have, for what it seems to be, more fireworks than any other headliner, any other performer, any other artist.","The person in the video is seated in front of a microphone, leaning slightly forward with their body. Her right hand is clenched into a fist, fingers gently curved, then gradually opening up with the palm facing upward, as if emphasizing a point or expressing an emotion. Following this, she lowers her right hand and raises her left hand, fingers naturally spread out with the palm facing downward, seemingly explaining or elaborating further. She then lowers her left hand again, and her right hand is clenched once more, fingers curved, as if emphasizing another point. Throughout the process, her movements are smooth and rhythmic, indicating that she is delivering a coherent speech or dialogue. The person says, <S> Green Day starts to finish up and they have, for what it seems to be, more fireworks than any other headliner, any other performer, any other artist.<E> <AUDCAP>A male speaker, likely middle-aged, delivers the lines with a neutral, matter-of-fact tone. His accent is General American, with a medium pitch and a smooth, flowing rhythm. The prosody is relatively monotone, lacking significant inflection, and the speech rate is moderate. He sounds composed and calm, conveying information objectively without strong emotion, giving the impression of a seasoned narrator or commentator.<ENDAUDCAP>
"
28Ypxrs0jc4_1280x720_full_video_038_A,videos/28Ypxrs0jc4_1280x720_full_video_038.mp4,audios/28Ypxrs0jc4_1280x720_full_video_038.wav,"0,0,1,1"," of himself wielding a baseball bat next to a photo of Alvin Bragg, but I have to say, I love the idea that a guy named Bragg might send him to jail. It's like.","The person in the video is dressed in formal attire and stands in front of a simulated cityscape at night. His right hand initially extends upward to the right, then gradually retracts with fingers slightly curved, as if emphasizing a point or making an explanatory gesture. Following this, his right hand moves downward, palm facing outward, with fingers naturally spread, seemingly demonstrating or explaining something. Subsequently, his right hand lifts upward again, fingers gently curved, possibly to emphasize another point. Finally, his right hand slowly lowers, palm touching his chest, fingers naturally relaxed, suggesting that he is concluding this series of gestures. Throughout the process, his left hand remains by his side without significant movement changes. The person says, <S> of himself wielding a baseball bat next to a photo of Alvin Bragg, but I have to say, I love the idea that a guy named Bragg might send him to jail. It's like.<E> <AUDCAP>A middle-aged adult male with an American accent speaks in a relatively high pitch with a cynically amused tone. His prosody is dynamic and conversational, using varied intonation and stress for comedic effect, punctuated by a sharp laugh. He speaks at a normal pace, maintaining a humorous and engaging delivery throughout the clip.<ENDAUDCAP>
"
2Ait0WaCNCw_1920x1080_full_video_165_B,videos/2Ait0WaCNCw_1920x1080_full_video_165.mp4,audios/2Ait0WaCNCw_1920x1080_full_video_165.wav,"0,0,1,1"," these straight couples, a lot of women say no to sex because the sex that's on offer is not that interesting to them. So for this we need to talk about sex drives, sex drive полов.","The person in the video is seated at a table, gently tapping their right hand on the surface with fingers slightly spread and wrists moving rhythmically up and down. Their left hand rests on the table, with fingers naturally curved, occasionally making slight movements. Throughout the process, her arms remain relatively stable, while only her hands exhibit more active movements. The person says, <S> these straight couples, a lot of women say no to sex because the sex that's on offer is not that interesting to them. So for this we need to talk about sex drives, sex drive полов.<E> <AUDCAP>A female speaker, likely middle-aged, with a standard British accent, speaks in a calm and even tone. Her pitch is medium, and her prosody features a regular rhythm with clear articulation and standard intonation. The speech is delivered at a moderate, steady pace. Her emotion is neutral and professional, suggestive of someone giving an informative explanation. The recording is clear with no noticeable background noise or distortion.<ENDAUDCAP>
"
